,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
1277,5,Read the instructions.,My husband couldn't get it going so we worked together to get it set up.  Beautiful  Watch!,[],B01N7XKNSX,B09TXZHKLG,AGUAZOUO36B653B2W3XPWGBW4POQ,2022-05-28 02:49:34.071,0,True
2898,5,I've been wearing this watch for 15 years,"Granted, not the same watch, I've replaced it multiple times over the last 15 years. But with a watch this cheap I don't feel bad doing it. This look is CLASSIC, straight 80's classic and a timeless design still feels of this moment whenever that happens to be.<br /><br />I work as a carpenter so I chew through watches quickly since my hands and wrists are always getting battered around. That being said, they stand up to direct hammer blows and smashing into sheets of plywood or scratching along lengths of steel without any issue. I treat these watches terribly and they keep on telling time perfectly, the backlight never fails nor the alarm.<br /><br />What always fails before the watch does is the band, usually after 1-2 years of daily abuse and taking it on/off to shower the watch band with tear. That or the crystal will become so scratched from accidents that it's time to buy a new one. But who cares! These watches are so affordable I don't mind trading an old, tired one for a brand new one.<br /><br />I love these watches. They look great, they do their job and they're wicked tough. I'm sure I'll continue wearing these for another 15 years to come.",[],B000GAWSDG,B09TXZHKLG,AETH4FWXRDOAYEHXAIXTCNXJHJ7Q,2013-05-15 13:10:13.000,0,True
4069,5,A Good cheap basic unisex wrist watch.,If you wanted a very basic digital unisex wristwatch then this watch is for you! It's so cheap taht you can get another one if this one dies on you. Th light at night is barely visible and it's numbers are small but visible under the sun while being very light that you hardly feel it on your wrist. This wrist watch is also what President Barack Obama was wearing while he was in the White House for 8 years. It's timeless design and the simplicity you just can't beat. A Highly recommended wrist watch.,[],B000GAWSDG,B09TXZHKLG,AHPCCNVDHVCOZVVA5JHJOFSWBO2A,2021-04-13 20:31:59.029,0,True
4131,5,Dirt cheap watch,"It is smallish, but works well.  Good value for the price",[],B000GAWSDG,B09TXZHKLG,AFRBUI2CROLJWEWOR3F7F6ZYEAPA,2017-09-06 15:16:04.633,0,True
5013,5,Brings me back to the 1980's.,This was very similar or the same watch as the one I wore in the early 1980's as a child. It still works great actually.,[],B000GAWSDG,B09TXZHKLG,AGUWKEITESK4XURMJ6OFRLAT6RCA,2020-01-03 15:46:07.265,0,True
5919,4,"Classic watch, but strap breaks about after a year","This watch is a classic, the battery seems to run on for ever and the cost is cheap enough that I don't have to worry about scratching or damaging the watch. One down side is the strap seems to break after a year or two and replacement straps are about the same price as the watch.",[],B000GAWSDG,B09TXZHKLG,AHNA4Y4ZEUD5TKJASATY35LBA7YA,2016-11-26 23:55:54.000,0,True
6185,4,Two thumbs up,"Unfortunately, I lost this watch pretty soon after I bought it... BUT, while it was in my possession, I really liked it. It looked nice on my tiny lady wrists and told time accurately.",[],B000GAWSDG,B09TXZHKLG,AH5BBHG3YX7LZHNHTCL5LYBWLZCA,2020-02-06 03:45:40.964,0,True
8866,4,Classic and great value,"Exactly what was ordered, good condition and great price. Inexpensive watch that can handle abuse.",[],B000GAWSDG,B09TXZHKLG,AECE6BRGUEFAJQIZ7F5QO53Z623A,2018-06-12 17:34:30.681,0,True
9645,5,Exactly what I wanted.,I love this watch and have been wearing them for years. I am very active and the band will wear out/ or crack eventually. But for the money it is great.Love the features.,[],B000GAWSDG,B09TXZHKLG,AHROPYFI5XAGXLBVN2DH2PYTRWEA,2019-04-19 18:04:51.333,0,True
10894,3,Band is too small,Band is too small,[],B01MZF6LL2,B09TXZHKLG,AFKZ3RTZJKVFICNXXENJHO33F4JA,2021-12-30 22:20:14.883,0,True
11022,5,Great travel watch!,"I needed a watch for a backpacking trip that was waterproof, had an alarm, and was cheap enough that I wouldn't be upset if it got damaged. This checked all the boxes! I also like the slim profile. Only issue is sometimes it inadvertently switches between 24 and 12 hour time, and there are no directions in the packaging (I found it intuitive though).",[],B000GAWSDG,B09TXZHKLG,AH3MY4CTSLLQ33OUSZETBDKZKKVA,2020-02-08 07:35:16.835,0,True
11334,5,Great retro look,Really fun little watch,[],B07BQXXNQY,B09TXZHKLG,AHXG6VCMA24BVEPNO3C766Z76SJA,2021-12-02 15:12:39.692,0,True
11335,5,Retro Look,This is a great little watch for everyday use.,[],B07C9F8XLL,B09TXZHKLG,AHXG6VCMA24BVEPNO3C766Z76SJA,2021-11-28 23:50:43.121,0,True
11336,5,Great Little Retro Watch,It looks great and you can't beat the price.,[],B01MZF6LL2,B09TXZHKLG,AHXG6VCMA24BVEPNO3C766Z76SJA,2021-11-11 00:43:24.983,0,True
11499,4,Just Okay...,"Can't have my smartwatch where I work, so I decided to have fun with my watch and order this throwback. The watch is thinner than I expected but I'm okay with that because I like feminine and petite. I'm usually in the dark as I work at nights and this watch does have a light but it's not as user friendly as I'd like. The light doesn't like to stay on long enough to register the time. I considered getting the clear one too, but I'm not yet convinced that I'd like a second one.",[],B086RQHJQM,B09TXZHKLG,AHGJMZBSPN6W2EEWAZ6GVGAMAR6Q,2022-01-07 21:35:27.571,0,True
11512,5,"So Cute, Great for Everyday","Got this watch on a whim, but I'm very glad I did! I thought it was cute, reasonably priced, great for everyday all day wear. My favorite thing about this watch is that you can see the date, which is great if you need to date paperwork at work. It's comfortable and versatile, my only issue was that the resin bands can be a little stiff, but they soften (or mold to your wrist) with use. I think with good care, cracking of the screen is totally preventable. I have a hard time believing reviews that said the face cracked out of nowhere. I wouldn't wear if for anything high impact.",[],B086RQHJQM,B09TXZHKLG,AFAOMAGGQPJ7AX3UAVOGWN6TE4OA,2022-07-23 20:56:41.771,0,True
12559,4,"Great Watch - Accurate - Fairly Rugged - The Strap Is Very Short, Though","I've had a few F91W series watches, and they've all been reliable.  They're so inexpensive, and run so long on the original batteries, they're pretty much disposable.  Over the years, I've bought several of these watches - not to wear on my wrist, but to strap them to my backpack, mount on my bike, and keep in my camp packs.  These are excellent and accurate timepieces to have around, to quickly tell time when your hands are occupied.  Just to try it out, however, I put a new F91W-1 watch on my wrist...  Or, rather, I ~tried~ to put it onto my wrist, but it didn't fit.  I'm not Lou Ferigno or The Big Show, and I could barely touch the tip of the strap to the very tip of the buckle.  I compared it to my older F91W, and it too had a small strap.  A no-name watch from Hong Kong with another &#34;standard men's strap&#34; was a good centimeter longer.  It's not a problem for me, since I don't plan on wearing it, but it's something to keep in mind when purchasing this watch.  As a timepiece, the F91W-1 still great.  Accurate, rugged, water resistant, inexpensive and very plain looking.  I'll trust my life to it as a timepiece, but apparently I won't be wearing them unless I buy a new strap.",[],B000GAWSDG,B09TXZHKLG,AH33K4VDG5O6SIJSWFI73XGYVFHQ,2011-06-28 22:30:22.000,1,True
12845,5,Cheap but in a good way,Cheap and good for everyday use.,[],B000GAWSDG,B09TXZHKLG,AHF2XUPMQ26AGJB3VBRERWZ4YPHQ,2021-03-22 18:43:04.747,0,True
12854,1,The  inaccuracy of this watch is terrible,The  inaccuracy of this watch is terrible.Very Very cheap made should be a 2 dollar watch .Doesn't fit a men wrist made more for a child,[],B000GAWSDG,B09TXZHKLG,AHFO6TPCRKK3OY2H3JRH3XPP3OGA,2017-05-02 13:52:11.000,0,True
13036,4,Good Standard Watch,"These are good little watches and I have been using them since they came out 20-30 years ago. I am not sure if the model number has changed but the simple basic Casio digital watch has always been long lasting and dependable. They are not expensive but have served me well. If it gets broken while working or playing I don't worry and I never have to be concerned that someone will rob me for my watch while traveling to other countries.<br /><br />But from a display standpoint it could be better. Although the display is common with all of these style watches, the illumination button is useless. It does not produce enough light or at the correct angle to read the numbers. I since have started using the Casio F-105 Illuminator, same basic watch but with an outstanding back light feature.<br /><br />So if you are looking for a good basic watch with typical features such as 24hr time, alarm, stop watch and large clear digital numbers then this is a good choice. But, if you want to see what time it is at night or in poor lighting then get the F-105.",[],B000GAWSDG,B09TXZHKLG,AEKHOD4M7YSSDFMTQZPRCGPJKGVA,2015-05-02 15:47:48.000,0,True
